101.rle,101
blockedp42.rle,Blocked p4-2
blockedp43.rle,Blocked p4-3
blockedp4tnose.rle,Blocked p4 t-nose
blocker.rle,Blocker
blocker_synth.rle,Blocker_synth
blocklayingswitchengine.rle,Block-laying switch engine
blocklayingswitchenginepredecessor.rle,Block-laying switch engine predecessor
blocklayingswitchengine_synth.rle,Block-laying switch engine_synth
blockonboat.rle,Block on boat
blockonboat_synth.rle,Block on boat_synth
blockontable.rle,Block on table
blockontable_synth.rle,Block on table_synth
blockstacker.rle,Blockstacker
block_synth.rle,Block_synth
blom.rle,Blom
boat.rle,Boat
boatbit.rle,Boat-bit
boatmaker.rle,Boat maker
boatonquadpole.rle,Boat on quadpole
boatonquadpole_synth.rle,Boat on quadpole_synth
boatonsparkcoil.rle,Boat on spark coil
boatonsparkcoil_synth.rle,Boat on spark coil_synth
boatshiptie.rle,Boat-ship-tie
boatshiptie_synth.rle,Boat-ship-tie_synth
boatstretcher1.rle,Boatstretcher 1
boattie.rle,Boat-tie
boattie_synth.rle,Boat-tie_synth
boatwithlongtail.rle,Boat with long tail
boatwithlongtail_synth.rle,Boat with long tail_synth
boat_synth.rle,Boat_synth
bomberpredecessor.rle,Bomber predecessor
boojumreflector.rle,Boojum reflector
bookend.rle,Bookend
bookends.rle,Bookends
bookends_synth.rle,Bookends_synth
bookend_synth.rle,Bookend_synth
boss.rle,Boss
bottle.rle,Bottle
brain.rle,Brain
breeder1.rle,Breeder 1
bricklayer.rle,Bricklayer
brokenlines.rle,Broken lines
buckaroo.rle,Buckaroo
buckaroo_synth.rle,Buckaroo_synth
bulletheptomino.rle,Bullet heptomino
bun.rle,Bun
bunnies.rle,Bunnies
bunnies10.rle,Bunnies 10
bunnies11.rle,Bunnies 11
bunnies9.rle,Bunnies 9
bunnies_synth.rle,Bunnies_synth
burloaferimeter.rle,Burloaferimeter
burloaferimeter_synth.rle,Burloaferimeter_synth
butterfly.rle,Butterfly
butterfly_synth.rle,Butterfly_synth
byflops.rle,By flops
byflops_synth.rle,By flops_synth
c2wickstretcher.rle,c/2 wickstretcher
c3ladder.rle,c/3 ladder
c3ladders.rle,c/3 ladders
c4diagonalpuffer1.rle,c/4 diagonal puffer 1
c4diagonalspaceships.rle,c/4 diagonal spaceships
c4orthogonalspaceships.rle,c/4 orthogonal spaceships
c5diagonalpuffer1.rle,c/5 diagonal puffer 1
c5diagonaltubstretcher.rle,c/5 diagonal tubstretcher
c5greyship.rle,c/5 greyship
cabertosser1.rle,Caber tosser 1
canadagoose.rle,Canada goose
candelabra.rle,Candelabra
candlefrobra.rle,Candlefrobra
candlefrobra_synth.rle,Candlefrobra_synth
canoe.rle,Canoe
canoe_synth.rle,Canoe_synth
cap.rle,Cap
carnivalshuttle.rle,Carnival shuttle
carriersiamesecarrier.rle,Carrier siamese carrier
carriersiamesecarrier_synth.rle,Carrier siamese carrier_synth
carriersiamesesnake.rle,Carrier siamese snake
carriersiamesesnake_synth.rle,Carrier siamese snake_synth
catacryst.rle,Catacryst
caterer.rle,Caterer
catereron34p13.rle,Caterer on 34P13
catereron36p22.rle,Caterer on 36P22
catereron44p7.2.rle,Caterer on 44P7.2
catereronfigureeight.rle,Caterer on figure eight
caterer_synth.rle,Caterer_synth
cauldron.rle,Cauldron
cauldron_synth.rle,Cauldron_synth
centinal.rle,Centinal
centinalreflector.rle,Centinal reflector
centinal_synth.rle,Centinal_synth
century.rle,Century
centuryeater.rle,Century eater
centuryeater2.rle,centuryeater2.rle
champageglass.rle,Champage glass
champagneglass.rle,Champagne glass
chemist.rle,Chemist
cheptomino.rle,C-heptomino
cheshirecat.rle,Cheshire cat
chickenwire.rle,Chicken wire
cisbargewithtail.rle,Cis-barge with tail
cisbargewithtail_synth.rle,Cis-barge with tail_synth
cisbeaconandanvil.rle,Cis-beacon and anvil
cisbeaconandcap.rle,Cis-beacon and cap
cisbeaconandcap_synth.rle,Cis-beacon and cap_synth
cisbeaconanddock.rle,Cis-beacon and dock
cisbeaconanddock_synth.rle,Cis-beacon and dock_synth
cisbeaconandtable.rle,Cis-beacon and table
cisbeaconandtable_synth.rle,Cis-beacon and table_synth
cisbeaconupandlonghook.rle,Cis-beacon up and long hook
cisbeaconupandlonghook_synth.rle,beacon and long hook_synth
cisblockandlonghook.rle,Cis-block and long hook
cisblockandlonghook_synth.rle,Cis-block and long hook_synth
cisboatanddock.rle,Cis-boat and dock
cisboatanddock_synth.rle,Cis-boat and dock_synth
cisboatandlonghookeatingtub.rle,Cis-boat and long hook eating tub
cisboatandlonghookeatingtub_synth.rle,Cis-boat and long hook eating tub_synth
cisboatandtable.rle,Cis-boat and table
cisboatandtable_synth.rle,Cis-boat and table_synth
cisboatwithtail.rle,Cis-boat with tail
cisboatwithtail_synth.rle,Cis-boat with tail_synth
cisfusewithtwotails.rle,Cis-fuse with two tails
cisfusewithtwotails_synth.rle,Cis-fuse with two tails_synth
cishookandrbee.rle,Cis-hook and R-bee
cishookwithtail.rle,Cis-hook with tail
cishookwithtail_synth.rle,Cis-hook with tail_synth
cisloafwithtail.rle,Cis-loaf with tail
cisloafwithtail_synth.rle,Cis-loaf with tail_synth
cismirroredrbee.rle,Cis-mirrored R-bee
cismirroredrbee_synth.rle,Cis-mirrored R-bee_synth
cisrbeeandrloaf.rle,Cis-R-bee and R-loaf
cisrotatedrbee.rle,Cis-rotated R-bee
cisshillelagh.rle,Cis-shillelagh
cisshillelagh_synth.rle,Cis-shillelagh_synth
clawwithtail.rle,Claw with tail
clawwithtail_synth.rle,Claw with tail_synth
clock.rle,Clock
clock2.rle,Clock 2
clock_synth.rle,Clock_synth
coeship.rle,Coe ship
coeship_synth.rle,Coe ship_synth
coesp8.rle,Coe's p8
coesp8_synth.rle,Coe's p8_synth
conduit1.rle,Conduit 1
confusedeaters.rle,Confused eaters
confusedeaters_synth.rle,Confused eaters_synth
copperhead.rle,Copperhead
copperhead_synth.rle,copperhead_synth.rle
cordpuller.rle,Cord puller
cousinprimecalculator.rle,Cousin prime calculator
cousins.rle,Cousins
cover.rle,Cover
cow.rle,Cow
crab.rle,Crab
crabtubstretcher.rle,Crab tubstretcher
crab_synth.rle,Crab synthesis
cross.rle,Cross
cross2.rle,Cross 2
cross_synth.rle,cross_synth
crowd.rle,Crowd
crown.rle,Crown
crown_synth.rle,Crown_synth
cuphook.rle,Cuphook
cuphook_synth.rle,Cuphook_synth
dart.rle,Dart
dart_synth.rle,Dart_synth
deadsparkcoil.rle,Dead spark coil
deadsparkcoil_synth.rle,Dead spark coil_synth
deepcell.rle,Deep cell
demonoid_synth.rle,Deep cell
diamondring.rle,Diamond ring
diamondring_synth.rle,Diamond ring_synth
diehard.rle,Die hard
dinnertable.rle,Dinner table
dinnertableextension.rle,Dinner table extension
diuresis.rle,Diuresis
dock.rle,Dock
doseedo.rle,Do-see-do
doublecaterer.rle,Double caterer
doubleewe.rle,Double ewe
doublex.rle,Double X
dragon.rle,Dragon
dragonflotillae.rle,Dragon flotillae
dragontagalongs.rle,Dragon tagalongs
eater1.rle,Eater 1
eater1reactions.rle,Eater 1 reactions
eater1withblinker.rle,Eater 1 with blinker
eater1withglider.rle,Eater 1 with glider
eater1withloaf.rle,Eater 1 with loaf
eater1withprebeehive.rle,Eater 1 with pre-beehive
eater1_synth.rle,Eater 1_synth
eater2.rle,Eater 2
eater2_synth.rle,Eater 2_synth
eater3.rle,Eater 3
eater4.rle,Eater 4
eater5.rle,Eater 5
eater5eatinggliders.rle,Eater 5 eating gliders
eaterblockfrob.rle,Eater/block frob
eaterblockfrob_synth.rle,Eater/block frob_synth
eateronboat.rle,Eater on boat
eateronboat_synth.rle,Eater on boat_synth
eaterplug.rle,Eater plug
eaterplug_synth.rle,Eater plug_synth
eatersiameseeater.rle,Eater siamese eater
eatersiameseeater_synth.rle,Eater siamese eater_synth
eaterstampcollection.rle,Eater stamp collection
ecologist.rle,Ecologist
edgerepairherschel.rle,Edge repair Herschel
edgerepairspaceship1.rle,Edge-repair spaceship 1
edgerepairspaceship2.rle,Edge-repair spaceship 2
edna.rle,Edna
edna26.rle,Edna 26
electricfence.rle,Electric fence
elevener.rle,Elevener
elevener_synth.rle,Elevener_synth
elevenloop.rle,Eleven loop
elevenloop_synth.rle,Eleven loop_synth
elkiesp5.rle,Elkies' p5
elkiesp5_synth.rle,Elkies' p5_synth
ellisonp4hwemulator.rle,Ellison p4 HW emulator
ellisonp4hwemulatorhybrid.rle,Ellison p4 HW emulator hybrid
empty.rle,Empty
enretard.rle,En retard
enterprise.rle,Enterprise
eureka.rle,Eureka
eurekav2.rle,Eureka v2
eureka_synth.rle,Eureka_synth
extraextralongsnake.rle,Extra extra long snake
extraextralongsnake_synth.rle,Extra extra long snake_synth
extralongsnake.rle,Extra long snake
extralongsnake_synth.rle,Extra long snake_synth
extremelyimpressive.rle,Extremely impressive
extremelyimpressive_synth.rle,Extremely impressive_synth
fastforwardforcefield.rle,Fast forward force field
fermatprimecalculator.rle,Fermat prime calculator
figureeight.rle,Figure eight
figureeightasreflector.rle,Figure eight as reflector
figureeighton36p22.rle,Figure eight on 36P22
figureeightonpentadecathlon.rle,Figure eight on pentadecathlon
figureeight_synth.rle,Figure eight_synth
fleet.rle,Fleet
fleet_synth.rle,Fleet_synth
fly.rle,Fly
flyextension.rle,Fly extension
flyon60p3h1v0.3.rle,Fly on 60P3H1V0.3
foreandback.rle,Fore and back
foreandback_synth.rle,Fore and back_synth
fountain.rle,Fountain
fourteener.rle,Fourteener
fourteener_synth.rle,Fourteener_synth
fox.rle,Fox
fox_synth.rle,Fox_synth
frenchkiss.rle,French kiss
frenchkiss_synth.rle,frenchkiss_synth.rle
frogii.rle,Frog II
frothingpuffer.rle,Frothing puffer
frothingpuffer2.rle,Frothing puffer 2
fumarole.rle,Fumarole
fumaroleon34p13.rle,Fumarole on 34P13
fumaroleonachimsp11.rle,Fumarole on Achim's p11
fumarole_synth.rle,Fumarole_synth
gabrielsp138.rle,Gabriel's p138
gabrielsp138_synth.rle,Gabriel's p138_synth
gardenofeden1.rle,Garden of Eden 1
gardenofeden2.rle,Garden of Eden 2
gardenofeden3.rle,Garden of Eden 3
gardenofeden4.rle,Garden of Eden 4
gardenofeden5.rle,Garden of Eden 5
gardenofeden6.rle,Garden of Eden 6
gardensofeden.rle,Gardens of Eden
germ.rle,Germ
glasses.rle,Glasses
glasses_synth.rle,Glasses_synth
glider.rle,Glider
gliderduplicator1.rle,Glider duplicator 1
gliderloop.rle,Glider loop
gliderproducingswitchengine.rle,Glider-producing switch engine
gliderproducingswitchenginepredecessor.rle,Glider-producing switch engine predecessor
gliderproducingswitchengine_synth.rle,Glider-producing switch engine_synth
glidersbythedozen.rle,Gliders by the dozen
glidersbythedozen_synth.rle,Gliders by the dozen_synth
glidersymmetricpps.rle,Glider symmetric PPS
glider_synth.rle,Glider_synth
glidesymmetricpps.rle,Glide symmetric PPS
gosperglidergun.rle,Gosper glider gun
gosperglidergungliderdestruction.rle,Gosper glider gun (glider destruction)
gosperglidergun_synth.rle,Gosper glider gun_synth
gottsdots.rle,Gotts dots
gourmet.rle,Gourmet
graycounter.rle,Gray counter
graycounter_synth.rle,Gray counter_synth
greatonoff.rle,Great on-off
greatonoff_synth.rle,Great on off_synth
griddleandbeehive.rle,Griddle and beehive
griddleandbeehive_synth.rle,Griddle and beehive_synth
griddleandblock.rle,Griddle and block
griddleandblock_synth.rle,Griddle and block_synth
griddleandboat.rle,Griddle and boat
griddleandboat_synth.rle,Griddle and boat_synth
grin.rle,Grin
gunstar.rle,Gunstar
gunstar2.rle,Gunstar 2
gunstar216.rle,Gunstar 216
hacksaw.rle,Hacksaw
halfmax.rle,Halfmax
halfmaxv2.rle,Halfmax v2
halfmaxv3.rle,Halfmax v3
hammerhead.rle,Hammerhead
harbor.rle,Harbor
harbor_synth.rle,Harbor_synth
harvester.rle,Harvester
hat.rle,Hat
hat_synth.rle,Hat_synth
heart.rle,Heart
heavyweightemulator.rle,Heavyweight emulator
heavyweightemulator_synth.rle,Heavyweight emulator_synth
heavyweightvolcano.rle,Heavyweight volcano
hebdarole.rle,Hebdarole
hectic.rle,Hectic
heptapole.rle,Heptapole
heptapole_synth.rle,Heptapole_synth
herschel.rle,Herschel
herschelgrandparent.rle,Herschel grandparent
herschelparent.rle,Herschel parent
herschelreceiver.rle,Herschel receiver
herscheltransmitterstable.rle,Herschel transmitter (stable)
hertzoscillator.rle,Hertz oscillator
hertzoscillator_synth.rle,Hertz oscillator_synth
hexapole.rle,Hexapole
hexapole_synth.rle,Hexapole_synth
hexominoes.rle,Hexominoes
highlife10cellstilllifes.rle,HighLife 10-cell still lifes
highlife11cellstilllifes.rle,HighLife 11-cell still lifes
highlife12cellstilllifes.rle,HighLife 12-cell still lifes
highlife13cellstilllifes.rle,HighLife 13-cell still lifes
highlife4cellstilllifes.rle,HighLife 4-cell still lifes
highlife5cellstilllifes.rle,HighLife 5-cell still lifes
highlife6cellstilllifes.rle,HighLife 6-cell still lifes
highlife7cellstilllifes.rle,HighLife 7-cell still lifes
highlife8cellstilllifes.rle,HighLife 8-cell still lifes
highlife9cellstilllifes.rle,HighLife 9-cell still lifes
hivemaker.rle,Hive maker
hivenudger.rle,Hivenudger
hivenudger2.rle,Hivenudger 2
hivenudger_synth.rle,Hivenudger_synth
honeybit.rle,Honeybit
honeycomb.rle,Honeycomb
honeycomb_synth.rle,Honeycomb_synth
honeyfarm.rle,Honey farm
honeyfarm_synth.rle,Honey farm_synth
honeythieves.rle,Honey thieves
honeythieveswithtesttubebaby.rle,Honey thieves with test tube baby
honeythieves_synth.rle,Honeythieves_synth
hooks.rle,Hooks
hookwithtail.rle,Hook with tail
hookwithtail_synth.rle,Hook with tail_synth
house.rle,House
house_synth.rle,House_synth
hustler.rle,Hustler
hustlerii.rle,Hustler II
hustlerii_synth.rle,Hustler II_synth
hustler_synth.rle,Hustler_synth
hwss.rle,Heavyweight spaceship
hwssblinkerfuse.rle,HWSS blinker fuse
hwss_synth.rle,Heavyweight spaceship_synth
infinitegliderhotel.rle,Infinite glider hotel
infinitegliderhotel2.rle,Infinite glider hotel 2
infinitegliderhotel3.rle,Infinite glider hotel 3
infinitegliderhotel4.rle,Infinite glider hotel 4
infinitelwsshotel.rle,Infinite LWSS hotel
inlineinverter.rle,Inline inverter
integralsign.rle,Integral sign
integralsign_synth.rle,Integral sign_synth
integralwithhook.rle,Integral with hook
integralwithhook_synth.rle,Integral with hook_synth
integralwithtub.rle,Integral with tub
integralwithtub_synth.rle,Integral with tub_synth
interchange.rle,Interchange
interchange_synth.rle,Interchange_synth
iwona.rle,Iwona
jack.rle,Jack
jack_synth.rle,Jack_synth
jaggedlines.rle,Jagged lines
jam.rle,Jam
jamon34p13.1.rle,Jam on 34P13.1
jamon44p7.2.rle,Jam on 44P7.2
jam_synth.rle,Jam_synth
jasonsbow.rle,Jason's bow
jasonsp11.rle,Jason's p11
jellyfish.rle,Jellyfish
jolson.rle,Jolson
jolsonperiod9.rle,Jolson (period 9)
jolson_synth.rle,Jolson_synth
justyna.rle,Justyna
karelsp15.rle,Karel's p15
karelsp15_synth.rle,Karel's p15_synth
killercandlefrobras.rle,Killer candlefrobras
killertoads.rle,Killer toads
koksgalaxy.rle,Kok's galaxy
koksgalaxy_synth.rle,Kok's galaxy_synth
lake2.rle,Lake 2
lake2_synth.rle,Lake 2_synth
laputa.rle,Laputa
lidka.rle,Lidka
lifewithoutdeathquadraticgrowth.rle,Life without death quadratic growth
lightbulb.rle,Light bulb
lightbulb_synth.rle,Light bulb_synth
lightspeedoscillator1.rle,Light speed oscillator 1
lightspeedoscillator2.rle,Light speed oscillator 2
lightspeedoscillator3.rle,Light speed oscillator 3
lightweightemulator.rle,Lightweight emulator
linepuffer.rle,Line-puffer
loadingdock.rle,Loading dock
loaf.rle,Loaf
loafer.rle,loafer.rle
loafer_synth.rle,loafer_synth.rle
loaflipflop.rle,Loaflipflop
loafsiamesebarge.rle,Loaf siamese barge
loafsiamesebarge_synth.rle,Loaf siamese barge_synth
loafsiameseloaf.rle,Loaf siamese loaf
loafsiameseloaf_synth.rle,Loaf siamese loaf_synth
loaftractorbeam.rle,Loaf tractor beam
loaf_synth.rle,Loaf_synth
logt2growth.rle,Log(t)^2 growth
longbarge.rle,Long barge
longbarge_synth.rle,Long barge_synth
longboat.rle,Long boat
longboat_synth.rle,Long boat_synth
longcanadagoose.rle,Long Canada goose
longcanoe.rle,Long canoe
longcanoe_synth.rle,Long canoe_synth
longhook.rle,Long hook
longhookwithtail.rle,Long hook with tail
